ID,date_time,lat,lon,depth(km),magnitude,origin
18084321,2018-01-20T185031.89,42.9712,13.0278,8.1,ML1.6,3 km SE Monte Cavallo (MC)
18084431,2018-01-20T191440.5,42.8222,13.0682,9.2,ML0.7,4 km NW Norcia (PG)
18084571,2018-01-20T194101.69,44.3605,9.4238,10,ML1.5,3 km NE Ne (GE)
18084761,2018-01-20T211909.43,42.5808,13.2073,13.2,ML1.6,6 km SE Cittareale (RI)
18084841,2018-01-20T213338.64,42.5852,13.2062,12.5,ML1.3,5 km SE Cittareale (RI)
18084861,2018-01-20T214426.67,42.5453,13.2963,2.4,ML0.6,3 km N Capitignano (AQ)
18084881,2018-01-20T214723.87,43.0132,13.0265,7.8,ML1.2,3 km NE Monte Cavallo (MC)
18084951,2018-01-20T215435.23,42.8447,13.1103,12.2,ML1.6,6 km N Norcia (PG)
18085081,2018-01-20T225226.78,46.5178,10.3943,9.3,ML1.3,5 km N Bormio (SO)
18085181,2018-01-20T231300.95,43.4828,12.7248,15.8,ML1.0,4 km SW Frontone (PU)
18085211,2018-01-20T234109.6,42.6088,13.2913,11.8,ML1.4,2 km S Amatrice (RI)
18085321,2018-01-20T235958.37,42.9228,12.969,10.8,ML1.4,5 km NE Sellano (PG)
18085361,2018-01-21T001216.48,42.9213,12.9623,10.6,ML1.6,4 km NE Sellano (PG)
18085401,2018-01-21T003552.56,42.7637,13.086,10.6,ML1.5,3 km S Norcia (PG)
18085501,2018-01-21T005115.82,42.9547,13.2133,10.9,ML1.4,5 km S Bolognola (MC)
18085541,"2018-01-21T010631.299
",-18.653,-69.41,118,Mw6.3,Northern Chile [Land Chile]
18085561,2018-01-21T011232.38,42.9003,12.8617,11.4,ML1.3,6 km W Sellano (PG)
18085681,2018-01-21T012927.31,42.8972,12.8572,10,ML1.8,6 km W Sellano (PG)
18085881,2018-01-21T020910.95,42.9042,12.8517,10.9,ML1.3,6 km W Sellano (PG)
18086131,2018-01-21T030907.58,44.2605,10.6147,8.1,ML1.5,5 km NW Riolunato (MO)
18086221,2018-01-21T040645.98,42.9223,12.7993,7.7,ML1.5,6 km NE Trevi (PG)
18086261,2018-01-21T043820.04,37.0991,4.56772,3.6,ML2.3,2 km N Mazzarrone (CT)
18086401,2018-01-21T054451.52,42.9433,12.9842,11.1,ML1.9,6 km S Monte Cavallo (MC)
18086471,2018-01-21T062417.92,42.9627,13.0552,8.6,ML1.4,4 km NW Visso (MC)
18086591,2018-01-21T065246.29,42.8653,13.1208,8.4,Md1.1,4 km SW Castelsantangelo sul Nera (MC)
18086621,2018-01-21T065642.00,43.0422,12.6972,11.1,ML1.2,5 km W Valtopina (PG)
18086721,2018-01-21T072443.25,43.1257,13.6702,22.8,ML1.8,3 km NE Ponzano di Fermo (FM)
18086781,2018-01-21T075453.84,42.6695,13.1865,10.8,ML2.1,6 km SW Accumoli (RI)
18086891,2018-01-21T082256.65,42.8668,13.0483,9.1,ML0.4,2 km SE Preci (PG)
18086931,2018-01-21T082805.35,42.8622,13.0477,10.3,ML0.9,2 km SE Preci (PG)
18087021,2018-01-21T083946.14,42.8793,13.1257,8.5,ML1.8,3 km SW Castelsantangelo sul Nera (MC)
18087101,2018-01-21T085149.37,46.299,13.0357,9.7,ML1.3,4 km W Trasaghis (UD)
18087161,2018-01-21T090427.95,42.8488,13.1218,10.1,ML1.6,6 km SW Castelsantangelo sul Nera (MC)
18087211,2018-01-21T090941.27,46.4385,13.0431,4.8,ML1.6,3 km SE Zuglio (UD)
18087271,2018-01-21T091853.05,43.45,12.7593,10.6,ML1.0,5 km S Serra Sant'Abbondio (PU)
18087331,2018-01-21T093454.32,42.7868,13.1498,10.2,ML1.6,5 km E Norcia (PG)
18087421,2018-01-21T101159.83,43.0425,13.0438,9.9,ML0.9,1 km W Pieve Torina (MC)
